date,product,unit_id,quantity,location
2026-01-15,מנת דם מלא- כלב n mdm dog,UNIT001,1,רחובות
2026-01-15,מנת דם פלסמה חתול mdp cat,UNIT002,1,בית עובד
2026-01-16,מנת דם מלא- כלב n mdm dog חיצוני,UNIT003,1,חיצוני
2026-01-16,מנת דם טרי כלב,UNIT004,1,רחובות
2026-01-20,מנת דם תרכיז תאים כלב mdtt dog,UNIT005,1,רחובות
2026-01-20,מנת דם תרכיז תאים-גדול-חתול mdttbig cat,UNIT006,1,בית עובד
2026-01-25,מנת דם מלא- חתול mdm cat חיצוני,UNIT007,1,חיצוני
2026-01-25,מנת דם פלסמה כלב mdp dog,UNIT008,1,רחובות
2026-01-31,מנת דם מלא- כלב n mdm dog,UNIT009,1,בית עובד
2026-02-01,מנת דם פלסמה חתול mdp cat,UNIT010,1,רחובות
2026-02-01,מנת דם טרי כלב חיצוני,UNIT011,1,חיצוני
